NACE,Energy_sector
C241,FC_IND_IS_E
C242,FC_IND_IS_E
C243,FC_IND_IS_E
C2451,FC_IND_IS_E
C2452,FC_IND_IS_E
C20,FC_IND_CPC_E
C21,FC_IND_CPC_E
C244,FC_IND_NFM_E
C2453,FC_IND_NFM_E
C2454,FC_IND_NFM_E
C23,FC_IND_NMM_E
C29,FC_IND_TE_E
C30,FC_IND_TE_E
C25,FC_IND_MAC_E
C26,FC_IND_MAC_E
C27,FC_IND_MAC_E
C28,FC_IND_MAC_E
B071,FC_IND_MQ_E
B0729,FC_IND_MQ_E
B081,FC_IND_MQ_E
B0891,FC_IND_MQ_E
B0893,FC_IND_MQ_E
B0899,FC_IND_MQ_E
B099,FC_IND_MQ_E
C10,FC_IND_FBT_E
C11,FC_IND_FBT_E
C12,FC_IND_FBT_E
C17,FC_IND_PPP_E
C18,FC_IND_PPP_E
C16,FC_IND_WP_E
F41,FC_IND_CON_E
F42,FC_IND_CON_E
F43,FC_IND_CON_E
F,FC_IND_CON_E
C13,FC_IND_TL_E
C14,FC_IND_TL_E
C15,FC_IND_TL_E
C22,FC_IND_NSP_E
C31,FC_IND_NSP_E
C32,FC_IND_NSP_E
C33 ,FC_OTH_CP_E
E36 ,FC_OTH_CP_E
E37 ,FC_OTH_CP_E
E38 ,FC_OTH_CP_E
E39 ,FC_OTH_CP_E
E,FC_OTH_CP_E
G ,FC_OTH_CP_E
G45 ,FC_OTH_CP_E
G46 ,FC_OTH_CP_E
G47 ,FC_OTH_CP_E
H52 ,FC_OTH_CP_E
H53 ,FC_OTH_CP_E
I ,FC_OTH_CP_E
I55 ,FC_OTH_CP_E
I56 ,FC_OTH_CP_E
J ,FC_OTH_CP_E
J58 ,FC_OTH_CP_E
J59 ,FC_OTH_CP_E
J60 ,FC_OTH_CP_E
J61 ,FC_OTH_CP_E
J62 ,FC_OTH_CP_E
J63 ,FC_OTH_CP_E
K ,FC_OTH_CP_E
K64 ,FC_OTH_CP_E
K65 ,FC_OTH_CP_E
K66 ,FC_OTH_CP_E
L ,FC_OTH_CP_E
L68 ,FC_OTH_CP_E
M ,FC_OTH_CP_E
M69 ,FC_OTH_CP_E
M70 ,FC_OTH_CP_E
M71 ,FC_OTH_CP_E
M72 ,FC_OTH_CP_E
M73 ,FC_OTH_CP_E
M74 ,FC_OTH_CP_E
M75 ,FC_OTH_CP_E
N ,FC_OTH_CP_E
N77 ,FC_OTH_CP_E
N78 ,FC_OTH_CP_E
N79 ,FC_OTH_CP_E
N80 ,FC_OTH_CP_E
N81 ,FC_OTH_CP_E
N82 ,FC_OTH_CP_E
O ,FC_OTH_CP_E
O84 ,FC_OTH_CP_E
P ,FC_OTH_CP_E
P85 ,FC_OTH_CP_E
Q ,FC_OTH_CP_E
Q86 ,FC_OTH_CP_E
Q87 ,FC_OTH_CP_E
Q88 ,FC_OTH_CP_E
R ,FC_OTH_CP_E
R90 ,FC_OTH_CP_E
R91 ,FC_OTH_CP_E
R92 ,FC_OTH_CP_E
R93 ,FC_OTH_CP_E
S ,FC_OTH_CP_E
S94 ,FC_OTH_CP_E
S95 ,FC_OTH_CP_E
S96 ,FC_OTH_CP_E
U ,FC_OTH_CP_E
U99 ,FC_OTH_CP_E
H49,FC_OTH_CP_E
H50,FC_OTH_CP_E
H51,FC_OTH_CP_E
